id,full_name,email,phone,gender,age,job_title,years_of_experience,salary,department,designation
1,Jose Lopez,joselopez0944@slingacademy.com,,male,25,Project Manager,1,8500,Product,System Engineer
2,Diane Carter,dianecarter1228@slingacademy.com,8816330107,female,26,Machine Learning Engineer,2,7000,Product,System Engineer
3,Shawn Foster,shawnfoster2695@slingacademy.com,,male,37,Project Manager,14,17000,Product,Lead
4,Brenda Fisher,brendafisher3185@slingacademy.com,15745644648,female,31,Web Developer,8,10000,Product,Senior Data Engineer
5,Sean Hunter,seanhunter4753@slingacademy.com,5838355842,male,35,Project Manager,11,14500,Product,Lead
6,Joshua Jacobs,joshuajacobs5904@slingacademy.com,539132609,male,28,Project Manager,3,10500,Product,Data Engineer
7,Brianna Marshall,briannamarshall6438@slingacademy.com,7019328553,female,33,Machine Learning Engineer,10,11000,Product,Senior Data Engineer
8,John Tate,johntate7881@slingacademy.com,,male,33,Mobile Developer,10,11000,Product,Senior Data Engineer
9,Jillian Byrd,jillianbyrd8170@slingacademy.com,,female,34,Web Developer,10,11000,Product,Senior Data Engineer
10,Melanie Sharp,melaniesharp9256@slingacademy.com,8482120230,female,41,Web Developer,15,14500,Product,Lead
11,Brandy Mckee,brandymckee10500@slingacademy.com,,female,37,Web Developer,14,14000,Product,Lead
12,Robert Simpson,robertsimpson11778@slingacademy.com,,male,36,DevOps Engineer,12,15000,Product,Lead
13,George Mckenzie,georgemckenzie12384@slingacademy.com,8434162489,male,28,Machine Learning Engineer,4,10000,Product,Data Engineer
14,Joseph Smith,josephsmith13724@slingacademy.com,13802304166,male,40,Machine Learning Engineer,14,14000,Product,Lead
15,Dana Crawford,danacrawford14310@slingacademy.com,,female,32,Project Manager,8,12000,Product,Senior Data Engineer
16,Christopher Benson,christopherbenson15937@slingacademy.com,,male,29,Web Developer,5,7500,Product,Senior Data Engineer
17,Nicole Smith,nicolesmith16360@slingacademy.com,,female,26,Designer,4,10000,Product,Data Engineer
18,Peter Jimenez,peterjimenez17791@slingacademy.com,,male,28,Mobile Developer,3,6500,Product,Data Engineer
19,Sergio Boyle,sergioboyle18425@slingacademy.com,3027626274,male,31,Tester,6,9000,Product,Senior Data Engineer
20,Brianna Moss,briannamoss19517@slingacademy.com,,female,31,Designer,5,10500,Product,Senior Data Engineer
21,Taylor Garner,taylorgarner20196@slingacademy.com,,female,32,Machine Learning Engineer,6,11000,Product,Senior Data Engineer
22,Michael Padilla,michaelpadilla21381@slingacademy.com,7874461738,male,29,Tester,5,9500,Product,Senior Data Engineer
23,Yvette Walker,yvettewalker22744@slingacademy.com,1544890248,female,26,Designer,2,7000,Product,System Engineer
24,Kristina Pena,kristinapena23750@slingacademy.com,,female,34,DevOps Engineer,11,12500,Product,Lead
25,Vanessa Reynolds,vanessareynolds24710@slingacademy.com,,female,36,Machine Learning Engineer,10,13000,Product,Senior Data Engineer
26,Robert Suarez,robertsuarez25924@slingacademy.com,,male,33,Tester,9,9500,Product,Senior Data Engineer
27,Tammy Ellis,tammyellis26570@slingacademy.com,,female,37,HR Manager,14,14000,Human Resource,Lead
28,Rodney Porter,rodneyporter27496@slingacademy.com,15081874826,male,28,DevOps Engineer,3,9500,Product,Data Engineer
